Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,Ground Truth
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,11/15/2015,8.6,Dorsett Shepherds Bush, United Kingdom ,12,2890, Costumer service was horrible Manager on dute was very in professional,0,1,2.5,"[' Couple ', ' Dorsett Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",627 day,51.5039399,-0.2244232,Negative
Rosell n 174 176 Eixample 08036 Barcelona Spain,164,6/28/2017,8.5,Bcn Urban Hotels Gran Rosellon, Egypt ,0,2383, Spacious and clean room Huge bathroom The bidet was a positive surprise ,14,1,9.2,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",36 days,41.4226648,2.1464261,Positive
15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,154,11/12/2016,8.2,Kensington House Hotel, Spain ,44,689, For our purposes the location was great easy to get to from Victoria Station and right across from Hyde Park Kensington Palace Very quiet location staff was very welcoming and helpful ,33,12,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",264 day,51.5012329,-0.1859937,Positive
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,5/31/2016,7.7,Grand Royale London Hyde Park, United Kingdom ,19,6539, the room was too small it was not proportional to what we have seen in the website ,8,1,2.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",429 day,51.5109945,-0.1863417,Negative
19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,355,1/28/2016,8.0,Courthouse Hotel London, United Kingdom ,62,1786, the hotel is perfect for theatre land and far enough away from Oxford Street to avoid the crowds The staff were without exception superb,25,17,10.0,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 2 nights ']",553 day,51.5143624,-0.1394483,Positive
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,10/6/2015,8.0,The Principal London, United Arab Emirates ,16,3150, Old dirty property Sullen staff Non working air conditioner and insufficient compensation offered in lieu,0,8,2.9,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",667 day,51.5226217,-0.1251602,Negative
Dels Lledo 7 Ciutat Vella 08003 Barcelona Spain,67,10/23/2015,9.5,Mercer Hotel Barcelona, United States of America ,6,362, Friendly staff Staff member Bogdan went out of his way to give very interesting history of the area and our room It was very special ,27,5,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",650 day,41.3827,2.1791999,Positive
165 rue de Rome 17th arr 75017 Paris France,56,10/7/2016,7.6,Best Western Op ra Batignolles, Belgium ,43,859, Booking done true your site and next day the hotel contact me that they have no rooms availble and replaced me to an other poor expensive hotel So sad abouth their administration Also the payment was not done how we asked for,0,1,2.5,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']",300 day,48.8870573,2.3143297,Negative
36 Great st Helens City of London London EC3A 6AP United Kingdom,264,1/10/2017,7.4,Great St Helen Hotel, United Kingdom ,75,1328, The hotel was disgusting The toilet smelt so bad it stunk out the whole room it was vile and there were no other rooms available so we had to stay in it The room was dirty and my pillow was covered in what looked like blood The staff were unhelpful and didn t seem to think it was an issue to sleep in a room that smelt like a sewer and was filthy ,2,6,2.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",205 day,51.5149583,-0.0823869,Negative
1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,2/4/2016,8.4,Park Plaza County Hall London, Switzerland ,0,6117, Great location good breakfast buffet very friendly and helpful staff big and comfortable room good street noise insulation ,20,4,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 1 night ']",546 day,51.5014001,-0.1160092,Positive
